time,roll,pitch,yaw
438029,-0.07483050227165222,-3.815472364425659,-0.44335731863975525
438039,-0.07696285098791122,-3.7811224460601807,-0.4309094250202179
438049,-0.066280297935009,-3.7360565662384033,-0.43380093574523926
438059,-0.06787344813346863,-3.7020456790924072,-0.4329884648323059
438069,-0.06250080466270447,-3.6500840187072754,-0.4363926649093628
438079,-0.05708535760641098,-3.594541311264038,-0.4368840456008911
438089,-0.05865843594074249,-3.5393099784851074,-0.43291133642196655
438099,-0.05681727081537247,-3.4822585582733154,-0.43304499983787537
438109,-0.0505119264125824,-3.429708480834961,-0.4335929751396179
438119,-0.03820043057203293,-3.3561224937438965,-0.43339136242866516
438129,-0.04143161326646805,-3.308622360229492,-0.42668336629867554
438139,-0.03616197034716606,-3.2332417964935303,-0.4289299249649048
438149,-0.031741831451654434,-3.172271251678467,-0.42559194564819336
438159,-0.027433080598711967,-3.112260103225708,-0.42445826530456543
438169,-0.020941365510225296,-3.0457332134246826,-0.4212760031223297
438179,-0.01880112662911415,-2.9890644550323486,-0.41768473386764526
438189,-0.009457489475607872,-2.932630777359009,-0.41894638538360596
438199,-0.011736862361431122,-2.8732893466949463,-0.40522679686546326
438209,-0.006808723323047161,-2.823721408843994,-0.40344634652137756
438219,-0.006682246923446655,-2.76444411277771,-0.39213743805885315
438229,-0.005051252897828817,-2.7163877487182617,-0.3847387433052063
438239,-0.004701926838606596,-2.6638731956481934,-0.37655070424079895
438249,0.005149753298610449,-2.6130330562591553,-0.38170376420021057
438259,0.008377344347536564,-2.5611860752105713,-0.375426709651947
438269,0.008760042488574982,-2.5116114616394043,-0.3600108325481415
438279,0.012447291985154152,-2.466721534729004,-0.3565576672554016
438289,0.02899874746799469,-2.4140987396240234,-0.37654227018356323
438299,0.04536294564604759,-2.3540451526641846,-0.37977078557014465
438309,0.04326502978801727,-2.316027879714966,-0.36958685517311096
438319,0.04607387259602547,-2.2692742347717285,-0.36314693093299866
438329,0.04499528929591179,-2.2315351963043213,-0.3510439693927765
438339,0.03786572813987732,-2.190850019454956,-0.3340034484863281
438349,0.034553248435258865,-2.157315969467163,-0.32555466890335083
438359,0.03423864766955376,-2.1157565116882324,-0.3272624611854553
438369,0.040320657193660736,-2.078552007675171,-0.3407817780971527
438379,0.05296339839696884,-2.021064281463623,-0.3526488244533539
438389,0.05981441214680672,-1.9777705669403076,-0.3402712643146515
438399,0.0657004788517952,-1.9508030414581299,-0.31477612257003784
438409,0.056589629501104355,-1.9513921737670898,-0.24197493493556976
438419,0.0487760566174984,-1.932729959487915,-0.22556708753108978
438429,0.061018265783786774,-1.8807462453842163,-0.23236985504627228
438439,0.06206029653549194,-1.854716181755066,-0.20209774374961853
438449,0.060216519981622696,-1.832615613937378,-0.18111427128314972
438459,0.07273653149604797,-1.790733814239502,-0.1641625165939331
438469,0.07300868630409241,-1.7721619606018066,-0.12133846431970596
438479,0.0610811784863472,-1.7613086700439453,-0.06964842230081558
438489,0.05359584465622902,-1.7430170774459839,-0.019452163949608803
438499,0.04838208854198456,-1.7292732000350952,0.023823067545890808
438509,0.04504979029297829,-1.726205825805664,0.0776233822107315
438519,0.04318033903837204,-1.7144907712936401,0.1183597519993782
438529,0.04531277343630791,-1.6796238422393799,0.13846085965633392
438539,0.04430431127548218,-1.6480047702789307,0.1588924676179886
438549,0.045241229236125946,-1.6221755743026733,0.1836252063512802
438559,0.044514838606119156,-1.6166551113128662,0.22275151312351227
438569,0.048124123364686966,-1.617436170578003,0.262649267911911
438579,0.0456865094602108,-1.6074583530426025,0.29155054688453674
438589,0.05004873871803284,-1.5693793296813965,0.30172768235206604
438599,0.04981687292456627,-1.5379279851913452,0.31028205156326294
438609,0.053487423807382584,-1.5092191696166992,0.31670066714286804
438619,0.05657734349370003,-1.4765419960021973,0.33529922366142273
438629,0.04619571566581726,-1.47062087059021,0.3662564754486084
438639,0.043295297771692276,-1.449148178100586,0.3810349404811859
438649,0.04984371364116669,-1.4221091270446777,0.3975760042667389
438659,0.0460786409676075,-1.4156566858291626,0.43230757117271423
438669,0.050999633967876434,-1.4040502309799194,0.4632691442966461
