time,x_pos,y_pos,z_pos
10.0,1.239776611328125e-05,0.00015079975128173828,-0.0002505183219909668
20.0,2.0623207092285156e-05,0.0001436173915863037,-0.0005597695708274841
30.0,2.2470951080322266e-05,0.00012934207916259766,-0.0008859038352966309
40.0,2.2590160369873047e-05,0.00013688206672668457,4.640035331249237e-05
50.0,5.161762237548828e-05,0.0001499950885772705,-0.0002330821007490158
60.0,0.00017940998077392578,0.00012919306755065918,-0.0005391333252191544
70.0,0.0007508397102355957,0.00039571523666381836,-0.0021109934896230698
80.0,-0.0002689957618713379,0.0009310245513916016,-0.0008755270391702652
90.0,-0.0006796121597290039,0.0014906227588653564,-0.0023582614958286285
100.0,-0.0015334486961364746,0.0023508667945861816,-0.005108039826154709
110.0,-0.0029008984565734863,0.0037560462951660156,-0.010832433588802814
120.0,-0.003458380699157715,0.0039708614349365234,-0.006382497027516365
130.0,-0.003975033760070801,0.005341887474060059,-0.008032051846385002
140.0,-0.00532183051109314,0.005775034427642822,-0.004702214151620865
150.0,-0.00829806923866272,0.008493959903717041,-0.013890122063457966
160.0,-0.009323686361312866,0.01013326644897461,-0.002435751259326935
170.0,-0.009008258581161499,0.011263906955718994,0.003938782960176468
180.0,-0.006747215986251831,0.011555850505828857,0.0017470158636569977
190.0,-0.0016991496086120605,0.006868958473205566,-0.02630117503576912
200.0,0.005397379398345947,0.003175497055053711,-0.044321054592728615
210.0,0.007727861404418945,0.0017009079456329346,-0.02990502491593361
220.0,0.010496318340301514,0.000866323709487915,-0.03429661877453327
230.0,0.01577812433242798,-0.0008176267147064209,-0.042487846687436104
240.0,0.016055583953857422,-0.0011459589004516602,-0.024796750745736063
250.0,0.020473003387451172,-0.0016056597232818604,-0.026248864218359813
260.0,0.023788750171661377,-0.0028147101402282715,-0.030837360303848982
270.0,0.029593288898468018,-0.00382038950920105,-0.01806025207042694
280.0,0.031251609325408936,-0.004258900880813599,-0.009915061295032501
290.0,0.03323584794998169,-0.004852384328842163,-0.003689536824822426
300.0,0.03680980205535889,-0.006671249866485596,0.0024077724665403366
310.0,0.04011571407318115,-0.0077345967292785645,0.013454288244247437
320.0,0.043272554874420166,-0.008829563856124878,0.024204682558774948
330.0,0.04858630895614624,-0.011003285646438599,0.02905462682247162
340.0,0.05358356237411499,-0.012596577405929565,0.04355696216225624
350.0,0.05751180648803711,-0.01396748423576355,0.044221919029951096
360.0,0.06418663263320923,-0.0164148211479187,0.06433546915650368
370.0,0.06905794143676758,-0.018141508102416992,0.08021029457449913
380.0,0.07448732852935791,-0.02040228247642517,0.08795223757624626
390.0,0.07723397016525269,-0.021463662385940552,0.09693391993641853
400.0,0.0797048807144165,-0.02207052707672119,0.10489195957779884
410.0,0.08539515733718872,-0.025032997131347656,0.11502586677670479
420.0,0.08676791191101074,-0.025594204664230347,0.12207571044564247
430.0,0.09103792905807495,-0.028197765350341797,0.13396457210183144
440.0,0.09373098611831665,-0.028848499059677124,0.14212538674473763
450.0,0.09451723098754883,-0.028827190399169922,0.14925554767251015
460.0,0.09384071826934814,-0.031029880046844482,0.1559855081140995
470.0,0.094729483127594,-0.031012773513793945,0.167643953114748
480.0,0.0953599214553833,-0.03102734684944153,0.17537261918187141
490.0,0.09331423044204712,-0.02892187237739563,0.180919099599123
500.0,0.09005612134933472,-0.027945637702941895,0.19013512507081032
510.0,0.08889979124069214,-0.02737361192703247,0.19736595824360847
520.0,0.08588457107543945,-0.02753940224647522,0.20367084816098213
530.0,0.09100866317749023,-0.030125349760055542,0.21879160776734352
540.0,0.09104263782501221,-0.03154060244560242,0.22726847603917122
550.0,0.09086525440216064,-0.03257760405540466,0.2352924533188343
560.0,0.09105253219604492,-0.03321129083633423,0.24304630234837532
570.0,0.0946120023727417,-0.033300042152404785,0.25486474111676216
580.0,0.09649527072906494,-0.035362571477890015,0.2619733102619648
590.0,0.09619539976119995,-0.029075026512145996,0.2688482888042927
600.0,0.09565651416778564,-0.030607372522354126,0.2728910632431507
610.0,0.09502476453781128,-0.029918432235717773,0.27875857427716255
620.0,0.08992981910705566,-0.02885991334915161,0.28431664779782295
630.0,0.08709734678268433,-0.028591305017471313,0.28714268282055855
640.0,0.08526861667633057,-0.027790755033493042,0.2921053059399128
650.0,0.08157312870025635,-0.027797430753707886,0.29652028158307076
660.0,0.07981717586517334,-0.02661702036857605,0.30304406955838203
670.0,0.07685357332229614,-0.02782595157623291,0.3072376735508442
680.0,0.07523077726364136,-0.027453184127807617,0.3112955279648304
690.0,0.06879699230194092,-0.027369946241378784,0.31401504948735237
700.0,0.06481045484542847,-0.027337610721588135,0.31680165603756905
710.0,0.062196552753448486,-0.02748703956604004,0.3198147900402546
720.0,0.05644190311431885,-0.026062995195388794,0.3217255659401417
730.0,0.054844021797180176,-0.027781367301940918,0.3270990140736103
740.0,0.053561389446258545,-0.026201456785202026,0.32991059496998787
750.0,0.04645043611526489,-0.024785280227661133,0.33137189224362373
760.0,0.042514264583587646,-0.02449283003807068,0.3338363952934742
770.0,0.040112197399139404,-0.024659544229507446,0.33593543246388435
780.0,0.03646671772003174,-0.020588845014572144,0.3374823220074177
790.0,0.029567062854766846,-0.02085760235786438,0.3382333107292652
800.0,0.023117244243621826,-0.020823627710342407,0.33825989440083504
810.0,0.018233299255371094,-0.02053546905517578,0.339045662432909
820.0,0.012909948825836182,-0.020771056413650513,0.33949189260602
830.0,0.0103682279586792,-0.01744663715362549,0.3389941342175007
840.0,0.004899382591247559,-0.01821640133857727,0.339291263371706
850.0,0.0005054473876953125,-0.015946179628372192,0.3395187743008137
