time,x_pos,y_pos,z_pos
374022,0.0,0.0,0.0
374032,0.0,0.0,0.0
374042,0.0,0.0,0.0
374052,0.0,0.0,0.0
374062,0.0,0.0,0.0
374072,0.0,0.0,0.0
374082,0.0,0.0,0.0
374092,0.0,0.0,0.0
374102,0.0,0.0,0.0
374112,0.0,0.0,0.0
374122,0.0,0.0,0.0
374132,0.0,0.0,0.0
374142,0.0,0.0,0.0
374152,0.0,0.0,0.0
374162,0.0,0.0,0.0
374172,0.0,0.0,0.0
374182,0.0,0.0,0.0
374192,0.0,0.0,0.0
374202,0.0,0.0,0.0
374212,0.0,0.0,0.0
374222,0.0,0.0,0.0
374232,0.0,0.0,0.0
374242,0.0,0.0,0.0
374252,0.0,0.0,0.0
374262,0.0,0.0,0.0
374272,0.0,0.0,0.0
374282,0.0,0.0,0.0
374292,0.0,0.0,0.0
374302,0.0,0.0,0.0
374312,0.0,0.0,0.0
374322,0.0,0.0,0.0
374332,0.0,0.0,0.0
374342,0.0,0.0,0.0
374352,0.0,0.0,0.0
374362,0.0,0.0,0.0
374372,0.0,0.0,0.0
374382,0.0,0.0,0.0
374392,0.0,0.0,0.0
374402,0.0,0.0,0.0
374412,0.0,0.0,0.0
374422,0.0,0.0,0.0
374432,0.0,0.0,0.0
374442,0.0,0.0,0.0
374452,0.0,0.0,0.0
374462,0.0,0.0,0.0
374472,0.0,0.0,0.0
374482,0.0,0.0,0.0
374492,0.0,0.0,0.0
374502,0.0,0.0,0.0
374512,0.0,0.0,0.0
374522,0.0,0.0,0.0
374532,0.0,0.0,0.0
374542,0.0,0.0,0.0
374552,0.0,0.0,0.0
374562,0.0,0.0,0.0
374572,0.0,0.0,0.0
374582,0.0,0.0,0.0
374592,0.0,0.0,0.0
374602,0.0,0.0,0.0
374612,0.0,0.0,0.0
374622,0.0,0.0,0.0
374632,0.0,0.0,0.0
374642,0.0,0.0,0.0
374652,0.0,0.0,0.0
374662,0.0,0.0,0.0
374672,0.0,0.0,0.0
374682,0.0,0.0,0.0
374692,0.0,0.0,0.0
374702,0.0,0.0,0.0
374712,0.0,0.0,0.0
374722,0.0,0.0,0.0
374732,0.0,0.0,0.0
374742,0.0,0.0,0.0
374752,0.0,0.0,0.0
374762,0.0,0.0,0.0
374772,0.0,0.0,0.0
374782,0.0,0.0,0.0
374792,0.0,0.0,0.0
374802,0.0,0.0,0.0
374812,0.0,0.0,0.0
374822,0.0,0.0,0.0
374842,0.0,0.0,0.0
374852,0.0,0.0,0.0
374872,0.0,0.0,0.0
374882,0.0,0.0,0.0
374892,0.0,0.0,0.0
374902,0.0,0.0,0.0
374912,0.0,0.0,0.0
374922,0.0,0.0,0.0
374942,0.0,0.0,0.0
374952,0.0,0.0,0.0
374962,0.0,0.0,0.0
374982,0.0,0.0,0.0
374992,0.0,0.0,0.0
375002,0.0,0.0,0.0
375022,0.0,0.0,0.0
375032,0.0,0.0,0.0
375042,0.0,0.0,0.0
375052,0.0,0.0,0.0
375062,0.0,0.0,0.0
375072,0.0,0.0,0.0
375082,0.0,0.0,0.0
375092,0.0,0.0,0.0
375112,0.0,0.0,0.0
375122,0.0,0.0,0.0
375132,0.0,0.0,0.0
375142,0.0,0.0,0.0
375152,0.0,0.0,0.0
375162,0.0,0.0,0.0
375172,0.0,0.0,0.0
375192,0.0,0.0,0.0
375202,0.0,0.0,0.0
375222,0.0,0.0,0.0
375242,0.0,0.0,0.0
375252,0.0,0.0,0.0
375262,0.0,0.0,0.0
375272,0.0,0.0,0.0
375282,0.0,0.0,0.0
375292,0.0,0.0,0.0
375302,0.0,0.0,0.0
375312,0.0,0.0,0.0
375322,0.0,0.0,0.0
375342,0.0,0.0,0.0
375352,0.0,0.0,0.0
375372,0.0,0.0,0.0
375382,0.0,0.0,0.0
375402,0.0,0.0,0.0
375412,0.0,0.0,0.0
375422,0.0,0.0,0.0
375432,0.0,0.0,0.0
375442,0.0,0.0,0.0
375452,0.0,0.0,0.0
