time,roll,pitch,yaw
43348,0.6701144576072693,-0.6444401144981384,-0.4684235751628876
43358,0.7230112552642822,-0.6398045420646667,-0.46924224495887756
43368,0.6937540769577026,-0.6314700841903687,-0.4772280752658844
43378,0.6750777959823608,-0.6300610899925232,-0.47745954990386963
43388,0.6155416369438171,-0.6371572017669678,-0.46803104877471924
43398,0.5782644152641296,-0.594807505607605,-0.48092010617256165
43408,0.5724828243255615,-0.44527915120124817,-0.48874157667160034
43418,0.2677338719367981,-0.28738802671432495,-0.49380457401275635
43428,0.20639526844024658,-0.10898726433515549,-0.522718608379364
43438,-0.3306910991668701,0.19106464087963104,-0.4757298529148102
43448,-0.31111279129981995,0.4247819483280182,-0.4176161587238312
43458,-0.8392167687416077,0.9093301296234131,-0.30325233936309814
43468,-0.7202507853507996,0.8615388870239258,-0.11531386524438858
43478,-1.149638056755066,1.6618307828903198,-0.03578941524028778
43488,-1.3557709455490112,1.4264590740203857,0.13507544994354248
43498,-1.0703463554382324,1.9147449731826782,-0.08999857306480408
43508,-1.3771264553070068,1.7234468460083008,0.025945059955120087
43518,-1.8878592252731323,1.6214243173599243,0.20297059416770935
43528,-1.7408649921417236,2.1750786304473877,-0.09580522775650024
43539,-2.365018367767334,1.896897792816162,0.3613831102848053
43548,-3.4346797466278076,2.156968832015991,0.8631736040115356
43558,-3.593454599380493,1.6894042491912842,1.3386958837509155
43568,-3.7439076900482178,1.5151454210281372,1.628488540649414
43578,-3.2612767219543457,0.6746260523796082,2.001873731613159
43588,-2.7310571670532227,-1.1350070238113403,3.1093223094940186
43598,-1.5702394247055054,-2.350710868835449,3.515984296798706
43608,0.6877464652061462,-4.692074775695801,4.477906227111816
43618,0.5375993847846985,-5.020517826080322,4.460606575012207
43628,1.5864745378494263,-6.061614990234375,5.048912048339844
43638,0.8471006155014038,-6.195405960083008,4.49725341796875
43648,1.066091537475586,-7.0290021896362305,4.654300212860107
43658,0.5200592279434204,-6.397719383239746,4.162023544311523
43668,-0.5282079577445984,-5.202897071838379,3.1391727924346924
43678,-0.6271161437034607,-3.9902405738830566,3.2792797088623047
43688,-0.768150806427002,-2.361283302307129,3.443255662918091
43698,-0.565025269985199,-1.9919416904449463,4.024808883666992
43708,-0.7464277744293213,-1.1375337839126587,4.164040565490723
43718,0.07398327440023422,0.0809171125292778,4.848437786102295
43729,-0.1287614405155182,0.36846983432769775,4.935349941253662
43738,0.05544070899486542,1.0542737245559692,5.1181817054748535
43748,0.3909703195095062,1.6767739057540894,5.222656726837158
43758,0.31770941615104675,2.3441951274871826,5.288461685180664
43768,-0.18369147181510925,2.2435250282287598,5.415105819702148
43778,0.6974308490753174,1.2604657411575317,5.016275405883789
43788,0.2761421501636505,0.9572641849517822,5.112723350524902
