time,x,y,z
0,0,0,0
0,0.79375,0.889,0
0,-0.635,0.9271,0
0,0.1651,0.18415,0
0,0.9398,-0.55245,0
0,-0.42545,-0.2667,0
0,0.7239,0.5588,0
